죄종,계,남자_소계,남자_65세이상,여자_소계,여자_65세이상,총_65세이상피해자수,남성_고령비율(%),여성_고령비율(%),전체_고령비율(%)
살인기수,274,134.0,19.0,140.0,39.0,58.0,14.18,27.86,21.17
살인미수등,498,302.0,51.0,196.0,49.0,100.0,16.89,25.0,20.08
강도,457,270.0,33.0,187.0,47.0,80.0,12.22,25.13,17.51
강간,4777,37.0,2.0,4740.0,74.0,76.0,5.41,1.56,1.59
유사강간,897,99.0,,798.0,15.0,15.0,,1.88,1.67
강제추행,15377,1878.0,28.0,13499.0,348.0,376.0,1.49,2.58,2.45
기타,148,,,,,0.0,,,0.0
방화,770,413.0,96.0,345.0,94.0,190.0,23.24,27.25,24.68
절도범죄,180317,110330.0,11515.0,68891.0,8031.0,19546.0,10.44,11.66,10.84
상해,19573,12284.0,1615.0,7289.0,1201.0,2816.0,13.15,16.48,14.39
폭행,115251,71974.0,7946.0,43277.0,4664.0,12610.0,11.04,10.78,10.94
체포감금,955,330.0,41.0,625.0,58.0,99.0,12.42,9.28,10.37
협박,23553,12806.0,1226.0,10678.0,1195.0,2421.0,9.57,11.19,10.28
약취유인,316,109.0,3.0,207.0,2.0,5.0,2.75,0.97,1.58
폭력행위등,5511,4147.0,287.0,1356.0,121.0,408.0,6.92,8.92,7.4
공갈,5995,5207.0,232.0,786.0,56.0,288.0,4.46,7.12,4.8
손괴,45968,29789.0,4393.0,16081.0,2207.0,6600.0,14.75,13.72,14.36
직무유기,725,544.0,144.0,171.0,23.0,167.0,26.47,13.45,23.03
직권남용,1549,1270.0,227.0,245.0,42.0,269.0,17.87,17.14,17.37
증수뢰,40,27.0,5.0,10.0,,5.0,18.52,,12.5
통화,87,45.0,8.0,37.0,7.0,15.0,17.78,18.92,17.24
문서인장,7601,4732.0,1003.0,2759.0,429.0,1432.0,21.2,15.55,18.84
유가증권인지,34,19.0,3.0,15.0,3.0,6.0,15.79,20.0,17.65
사기,399248,241248.0,23030.0,149941.0,12134.0,35164.0,9.55,8.09,8.81
횡령,55799,30640.0,3241.0,24278.0,2341.0,5582.0,10.58,9.64,10.0
배임,2042,1478.0,335.0,502.0,102.0,437.0,22.67,20.32,21.4
성풍속범죄,16515,3179.0,24.0,13135.0,109.0,133.0,0.75,0.83,0.81
도박범죄,3,3.0,,,,0.0,,,0.0
특별경제범죄,38370,21099.0,2110.0,14673.0,1327.0,3437.0,10.0,9.04,8.96
마약범죄,3,2.0,,1.0,,0.0,,,0.0
보건범죄,870,447.0,42.0,373.0,62.0,104.0,9.4,16.62,11.95
환경범죄,135,112.0,32.0,17.0,4.0,36.0,28.57,23.53,26.67
교통범죄,84628,56479.0,8968.0,27986.0,6281.0,15249.0,15.88,22.44,18.02
노동범죄,101,80.0,10.0,20.0,6.0,16.0,12.5,30.0,15.84
안보범죄,104,58.0,6.0,35.0,8.0,14.0,10.34,22.86,13.46
선거범죄,300,237.0,30.0,53.0,8.0,38.0,12.66,15.09,12.67
병역범죄,21,18.0,,,,0.0,,,0.0
기타범죄,158385,87544.0,9172.0,69647.0,6883.0,16055.0,10.48,9.88,10.14
